инвентарный;машина;ставка за час;мин. смена, ч;подача;помесячно
MO-03;GROVE GMK 5100;4500.0;8.0;4000.0;0
MO-06; KC-6471;2600.0;4.0;3000.0;0
CR-01;RDK 250;1600.0;4.0;2000.0;0
MO-02; КС-4562;900.0;4.0;1200.0;0
MO-01; КС-3577;900.0;4.0;1200.0;0
TO-08; КБ-405-1А, КБ-405-1АМ, КБ-405-2А;0;0;45000.0;95000
TO-09; КБ-408;0;0;45000.0;95000
TO-06;COMANSA 10LC 140;0;0;45000.0;95000
TO-01; КБ-308, КБ-308А;0;0;45000.0;95000
TO-02; КБ-309ХЛ;0;0;45000.0;95000
TO-07; КБ-403А, КБ-403Б;0;0;45000.0;95000
TO-05;Irmaos Tavares IT-54 5fd;0;0;45000.0;95000
TO-03;POTAIN MC-85B;0;0;45000.0;95000
TO-04;POTAIN MCT-88;0;0;45000.0;95000
SE-04; 3PT 40-206, 3PT 40-206M;0;4.0;2000.0;0
SE-06; 555-102;0;4.0;2000.0;0
SE-01; A-441;0;4.0;2000.0;0
SE-03;CMZAP 93853;0;4.0;2000.0;0
SE-05;FAYMONVILLE SNT-4U;0;4.0;3000.0;0
MO-05;GROVE GMK 2035;1100.0;5.0;1200.0;0
MO-04;GROVE GMK 3055;900.0;4.0;1200.0;0
SE-02; SJ-45S;0;4.0;3000.0;0
